Num,Desc,GramsPerServ,GramDesc,CalsPerServ,ProtPerServ,FiberPerServ,SugarPerServ,SodiumPerServ,SatFatPerServ,PricePerServ,FoodType,Grains,Bev,Fruits,Vegs,MeatFish,Dairy,FatsOils,MealsSoups,LegumesNuts
1037,"Cheese, ricotta, part skim milk",28.35,1 oz,39.123,3.229065,0,0.087885,28.0665,1.3968045,0.13,Dairy,0,0,0,0,0,1,0,0,0
1131,"Egg, whole, cooked, poached",50,1 large,71.5,6.255,0,0.185,148.5,1.5565,0.14,Dairy,0,0,0,0,0,1,0,0,0
1128,"Egg, whole, cooked, fried",46,1 large,90.16,6.2606,0,0.184,95.22,1.98858,0.15,Dairy,0,0,0,0,0,1,0,0,0
42205,"Cheese, processed, cheddar or american, fat-free",21,1 slice (3/4 oz),31.08,4.725,0,2.0895,320.88,0.10584,0.16,Dairy,0,0,0,0,0,1,0,0,0
1123,"Egg, whole, raw, fresh",56,1 extra large,80.08,7.0336,0,0.2072,79.52,1.75056,0.16,Dairy,0,0,0,0,0,1,0,0,0
1153,"Milk, canned, evap, w/ vitamin A",126,.5 cup,168.84,8.5806,0,24.4104,133.56,5.78466,0.16,Dairy,0,0,0,0,0,1,0,0,0
1223,"Protein supp, milk based, muscle milk, powder",11,1 tbsp,45.21,5.0281,0.781,0.6281,36.19,0.17083,0.16,Dairy,0,0,0,0,0,1,0,0,0
1042,"Cheese, processed, american",28,1 slice (1 oz),102.48,5.0764,0,0.6328,467.88,5.05596,0.21,Dairy,0,0,0,0,0,1,0,0,0
1033,"Cheese, parmesan, hard",10.3,1 cubic inch,40.376,3.68225,0,0.0824,141.728,1.69023,0.21,Dairy,0,0,0,0,0,1,0,0,0
1174,"Milk, reduced fat, fluid, 2% milkfat",246,1 cup (8 fl oz),123,8.12,0,12.45,116,3.092,0.22,Dairy,0,0,0,0,0,1,0,0,0
1185,"Parmesan cheese topping, fat free",5,1 tablespoon,18.5,2,0,0.075,57.5,0.1555,0.23,Dairy,0,0,0,0,0,1,0,0,0
1175,"1% milk, fluid",244,1 cup (8 fl oz),102,8.22,0,12.69,107,1.545,0.23,Dairy,0,0,0,0,0,1,0,0,0
1090,"Milk, dry, whole, w/ added vitamin d",128,1 cup,634.88,33.6896,0,49.1776,474.88,21.42976,0.24,Dairy,0,0,0,0,0,1,0,0,0
1165,"Cheese, mexican, queso anejo",28.35,1 oz,105.7455,6.07824,0,1.312605,320.6385,5.3958555,0.24,Dairy,0,0,0,0,0,1,0,0,0
43589,"Cheese, swiss, low fat",15,1 cubic inch,26.85,4.26,0,0.1995,29.85,0.4956,0.25,Dairy,0,0,0,0,0,1,0,0,0
1028,"Cheese, mozzarella, part skim milk",28,1 oz,71.12,6.7928,0,0.3164,173.32,2.83192,0.27,Dairy,0,0,0,0,0,1,0,0,0
44048,"Cheese food, imitation",28,1 oz,71.96,1.1424,0,2.2988,363.16,2.23888,0.28,Dairy,0,0,0,0,0,1,0,0,0
1026,"Cheese, mozzarella, whole milk",28.35,1 oz,85.05,6.285195,0,0.292005,177.7545,3.728592,0.28,Dairy,0,0,0,0,0,1,0,0,0
1251,"Cheese, mexican blend",28,".25 cup, shredded",100.24,6.5912,0,0.3444,94.64,4.76756,0.29,Dairy,0,0,0,0,0,1,0,0,0
1236,"Ice cream, soft serve, choc",86,.5 cup,190.92,3.526,0.602,18.1976,52.46,6.4156,0.29,Dairy,0,0,0,0,0,1,0,0,0
1004,"Cheese, blue",17,1 cubic inch,60.01,3.638,0,0.085,194.82,3.17373,0.31,Dairy,0,0,0,0,0,1,0,0,0
1093,"Milk, dry, nonfat",68,1 cup,240.72,24.14,0,35,1550.4,0.08432,0.34,Dairy,0,0,0,0,0,1,0,0,0
43268,"Whipped cream substitute, dietetic, made from powder mix",80,1 cup,80,0.72,0,8.48,84.8,2.5488,0.4,Dairy,0,0,0,0,0,1,0,0,0
43261,"Yogurt, fruit variety, non-fat",125,1 container (4.4 oz),118.75,5.5,0,23.75,72.5,0.14875,0.41,Dairy,0,0,0,0,0,1,0,0,0
1159,"Cheese, goat, soft type",28,1 oz,73.92,5.1856,0,0,128.52,4.081,0.41,Dairy,0,0,0,0,0,1,0,0,0
42303,"Cheese, muenster, low fat",18,1 cubic inch,48.78,4.446,0,0.63,108,1.971,0.47,Dairy,0,0,0,0,0,1,0,0,0
1035,"Cheese, provolone",28.35,1 oz,99.5085,7.25193,0,0.15876,248.346,4.841613,0.48,Dairy,0,0,0,0,0,1,0,0,0
1240,"Ice cream cone, chocolate covered, w/ nuts, flavors other than choc",96,1 unit,339.84,5.0016,0.96,24,90.24,10.99968,0.49,Dairy,0,0,0,0,0,1,0,0,0
1019,"Cheese, feta",28.35,1 oz,74.844,4.028535,0,1.159515,259.9695,4.237191,0.51,Dairy,0,0,0,0,0,1,0,0,0
1023,"Cheese, gruyere",28,1 slice (1 oz),115.64,8.3468,0,0.1008,199.92,5.29564,0.51,Dairy,0,0,0,0,0,1,0,0,0
1187,"Yogurt, chocolate, nonfat milk",170,1 container (6 oz),190.4,6.001,2.04,25.449,229.5,0,0.55,Dairy,0,0,0,0,0,1,0,0,0
1228,"Cheese, fresh, queso fresco",122,"1 cup, crumbled",364.78,22.0698,0,2.8304,916.22,15.7868,0.58,Dairy,0,0,0,0,0,1,0,0,0
1238,Ice cream sandwich,70,1 serving,165.9,3.003,0,12.999,90.3,1.6219,0.68,Dairy,0,0,0,0,0,1,0,0,0
1106,"Milk, goat, fluid",244,1 cup,168.36,8.6864,0,10.858,122,6.50748,0.7,Dairy,0,0,0,0,0,1,0,0,0
1110,"Milk shakes, thick choc",300,1 container (10.6 oz),357,9.15,0.9,62.55,333,5.043,0.72,Dairy,0,0,0,0,0,1,0,0,0
1111,"Milk shakes, thick vanilla",313,1 container (11 oz),350.56,12.0818,0,55.5575,297.35,5.90318,0.75,Dairy,0,0,0,0,0,1,0,0,0
1164,Cheese sauce,243,1 cup,478.71,25.1019,0.243,0.4617,1197.99,19.52262,0.77,Dairy,0,0,0,0,0,1,0,0,0
1244,"Milk dessert bar, frozen, made from lowfat milk",68,1 bar,99.96,2.9988,4.488,15.0008,62.56,0.5508,0.78,Dairy,0,0,0,0,0,1,0,0,0
42141,"Cream substitute, liquid, light",242,1 cup,171.82,1.936,0,22.022,145.2,2.16832,0.79,Dairy,0,0,0,0,0,1,0,0,0
1239,Ice cream cookie sandwich,82,1 serving,196.8,3.034,0.984,17.466,132.84,1.36366,0.79,Dairy,0,0,0,0,0,1,0,0,0
43379,"Cheese, processed, swiss, lowfat",113,"1 cup, shredded",186.45,28.815,0,1.5255,1615.9,3.73239,0.86,Dairy,0,0,0,0,0,1,0,0,0
43275,"Cheese, processed, american, lowfat",113,"1 cup, shredded",203.4,27.798,0,0.6667,2021.57,4.9833,0.88,Dairy,0,0,0,0,0,1,0,0,0
1117,"Yogurt, plain, lowfat",227,1 container (8 oz),143.01,11.9175,0,15.9808,158.9,2.27,0.89,Dairy,0,0,0,0,0,1,0,0,0
1119,"Yogurt, vanilla, lowfat",227,1 container (8 oz),192.95,11.1911,0,31.326,149.82,1.82962,0.89,Dairy,0,0,0,0,0,1,0,0,0
1012,"Cheese, cottage, creamed, large or small curd",210,"1 cup, large curd (not packed)",205.8,23.352,0,5.607,764.4,3.6078,0.95,Dairy,0,0,0,0,0,1,0,0,0
1203,"Yogurt, fruit variety, lowfat, w/ lo cal sweetener",245,1 cup (8 fl oz),257.25,11.907,0,7.105,142.1,2.22705,0.96,Dairy,0,0,0,0,0,1,0,0,0
1116,"Yogurt, plain, whole milk",227,1 container (8 oz),138.47,7.8769,0,10.5782,104.42,4.75792,1.01,Dairy,0,0,0,0,0,1,0,0,0
1124,"Egg, white, raw, fresh",243,1 cup,126.36,26.487,0,1.7253,403.38,0,1.04,Dairy,0,0,0,0,0,1,0,0,0
1011,"Cheese, colby",113,"1 cup, shredded",445.22,26.8488,0,0.5876,682.52,22.84634,1.06,Dairy,0,0,0,0,0,1,0,0,0
1016,"Cheese, cottage, lowfat, 1% milkfat",226,1 cup (not packed),162.72,28.0014,0,6.1472,917.56,1.4577,1.08,Dairy,0,0,0,0,0,1,0,0,0
1166,"Cheese, mexican, queso asadero",113,"1 cup, shredded",402.28,25.538,0,3.2431,796.65,20.27107,1.16,Dairy,0,0,0,0,0,1,0,0,0
1167,"Cheese, mexican, queso chihuahua",113,"1 cup, shredded",422.62,24.3628,0,6.2828,697.21,21.29259,1.16,Dairy,0,0,0,0,0,1,0,0,0
1005,"Cheese, brick",113,"1 cup, shredded",419.23,26.2612,0,0.5763,632.8,21.20332,1.16,Dairy,0,0,0,0,0,1,0,0,0
1025,"Cheese, monterey",113,"1 cup, shredded",421.49,27.6624,0,0.565,678,21.54458,1.17,Dairy,0,0,0,0,0,1,0,0,0
42155,"Cheese, monterey, low fat",113,"1 cup, shredded",353.69,31.866,0,0.6328,882.53,15.8652,1.17,Dairy,0,0,0,0,0,1,0,0,0
42304,"Cheese, mozzarella, non-fat",113,"1 cup, shredded",159.33,35.821,2.034,1.6724,839.59,0,1.19,Dairy,0,0,0,0,0,1,0,0,0
1199,"Cream, half & half, fat free",484,1 pint,285.56,12.584,0,24.2,484,4.07044,1.24,Dairy,0,0,0,0,0,1,0,0,0
1044,"Cheese, processed, swiss",113,"1 cup, shredded",377.42,27.9449,0,1.3899,1548.1,18.13085,1.34,Dairy,0,0,0,0,0,1,0,0,0
1095,"Milk, canned, condensed, sweetened",306,1 cup,982.26,24.2046,0,166.464,388.62,16.78716,1.39,Dairy,0,0,0,0,0,1,0,0,0
42135,"Whipped topping, frozen, lowfat",75,1 cup,168,2.25,0,17.7,54,8.45475,1.39,Dairy,0,0,0,0,0,1,0,0,0
1030,"Cheese, muenster",113,"1 cup, shredded",415.84,26.4533,0,1.2656,709.64,21.59769,1.41,Dairy,0,0,0,0,0,1,0,0,0
1017,"Cheese, cream",232,1 cup,793.44,13.7576,0,7.4472,846.8,44.75744,1.8,Dairy,0,0,0,0,0,1,0,0,0
